EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-06-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, TRIER-PETRISBERG (STAID: 2760).
Blended and updated with sources: 111473 910609 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
111473,19500319,10153,    0
111473,19500320,10181,    0
111473,19500321,10133,    0
111473,19500322,10226,    0
111473,19500323,10274,    0
111473,19500324,10267,    0
111473,19500325,10262,    0
111473,19500326,10213,    0
111473,19500327,10219,    0
111473,19500328,10199,    0
111473,19500329,10145,    0
111473,19500330,10158,    0
111473,19500331,10189,    0
111473,19500401,10149,    0
111473,19500402, 9956,    0
111473,19500403, 9981,    0
111473,19500404,10090,    0
111473,19500405,10121,    0
111473,19500406,10187,    0
111473,19500407,10215,    0
111473,19500408,10159,    0
111473,19500409,10100,    0
111473,19500410,10088,    0
111473,19500411,10039,    0
111473,19500412,10031,    0
111473,19500413,10040,    0
111473,19500414,10079,    0
111473,19500415,10098,    0
111473,19500416,10149,    0
111473,19500417,10139,    0
111473,19500418, 9990,    0
111473,19500419,10062,    0
111473,19500420,10104,    0
111473,19500421,10138,    0
111473,19500422,10129,    0
111473,19500423,10117,    0
111473,19500424, 9992,    0
111473,19500425,10055,    0
111473,19500426,10013,    0
111473,19500427,10103,    0
111473,19500428,10175,    0
111473,19500429,10217,    0
111473,19500430,10244,    0
111473,19500501,10214,    0
111473,19500502,10185,    0
111473,19500503,10189,    0
111473,19500504,10194,    0
111473,19500505,10198,    0
111473,19500506,10198,    0
111473,19500507,10187,    0
111473,19500508,10172,    0
111473,19500509,10179,    0
111473,19500510,10185,    0
111473,19500511,10215,    0
111473,19500512,10212,    0
111473,19500513,10174,    0
111473,19500514,10147,    0
111473,19500515,10150,    0
111473,19500516,10125,    0
111473,19500517,10060,    0
111473,19500518,10027,    0
111473,19500519,10108,    0
111473,19500520,10127,    0
111473,19500521,10123,    0
111473,19500522,10172,    0
111473,19500523,10148,    0
111473,19500524,10162,    0
111473,19500525,10155,    0
111473,19500526,10124,    0
111473,19500527,10123,    0
111473,19500528,10167,    0
111473,19500529,10271,    0
111473,19500530,10246,    0
111473,19500531,10223,    0
111473,19500601,10211,    0
111473,19500602,10212,    0
111473,19500603,10225,    0
111473,19500604,10239,    0
111473,19500605,10246,    0
111473,19500606,10232,    0
111473,19500607,10213,    0
111473,19500608,10163,    0
111473,19500609,10144,    0
111473,19500610,10203,    0
111473,19500611,10225,    0
111473,19500612,10187,    0
111473,19500613,10152,    0
111473,19500614,10121,    0
111473,19500615,10115,    0
111473,19500616,10111,    0
111473,19500617,10125,    0
111473,19500618,10165,    0
111473,19500619,10187,    0
111473,19500620,10134,    0
111473,19500621,10073,    0
111473,19500622,10138,    0
111473,19500623,10151,    0
111473,19500624,10208,    0
111473,19500625,10195,    0
111473,19500626,10238,    0
111473,19500627,10234,    0
111473,19500628,10216,    0
111473,19500629,10183,    0
111473,19500630,10147,    0
111473,19500701,10196,    0
111473,19500702,10153,    0
111473,19500703,10112,    0
111473,19500704,10132,    0
111473,19500705,10123,    0
111473,19500706,10138,    0
111473,19500707,10151,    0
111473,19500708,10218,    0
111473,19500709,10170,    0
111473,19500710,10151,    0
111473,19500711,10126,    0
111473,19500712,10164,    0
111473,19500713,10161,    0
111473,19500714,10122,    0
111473,19500715,10176,    0
111473,19500716,10121,    0
111473,19500717,10171,    0
111473,19500718,10232,    0
111473,19500719,10252,    0
111473,19500720,10207,    0
111473,19500721,10138,    0
111473,19500722,10130,    0
111473,19500723,10090,    0
111473,19500724,10166,    0
111473,19500725,10186,    0
111473,19500726,10159,    0
111473,19500727,10167,    0
111473,19500728,10157,    0
111473,19500729,10168,    0
111473,19500730,10183,    0
111473,19500731,10127,    0
111473,19500801,10123,    0
111473,19500802,10084,    0
111473,19500803,10096,    0
111473,19500804,10127,    0
111473,19500805,10180,    0
111473,19500806,10159,    0
111473,19500807,10115,    0
111473,19500808,10120,    0
111473,19500809,10135,    0
111473,19500810,10156,    0
111473,19500811,10229,    0
111473,19500812,10219,    0
111473,19500813,10185,    0
111473,19500814,10180,    0
111473,19500815,10166,    0
111473,19500816,10100,    0
111473,19500817,10073,    0
111473,19500818,10086,    0
111473,19500819,10174,    0
111473,19500820,10209,    0
111473,19500821,10197,    0
111473,19500822,10175,    0
111473,19500823,10148,    0
111473,19500824,10139,    0
111473,19500825,10176,    0
111473,19500826,10124,    0
111473,19500827,10138,    0
111473,19500828,10107,    0
111473,19500829,10171,    0
111473,19500830,10212,    0
111473,19500831,10120,    0
111473,19500901,10098,    0
111473,19500902,10136,    0
111473,19500903,10175,    0
111473,19500904,10163,    0
111473,19500905,10168,    0
111473,19500906,10142,    0
111473,19500907,10107,    0
111473,19500908,10189,    0
111473,19500909,10169,    0
111473,19500910,10166,    0
111473,19500911,10167,    0
111473,19500912,10202,    0
111473,19500913,10193,    0
111473,19500914,10119,    0
111473,19500915,10032,    0
111473,19500916,10146,    0
111473,19500917,10147,    0
111473,19500918,10168,    0
111473,19500919,10150,    0
111473,19500920,10079,    0
111473,19500921,10089,    0
111473,19500922,10197,    0
111473,19500923,10237,    0
111473,19500924,10188,    0
111473,19500925,10063,    0
111473,19500926,10094,    0
111473,19500927,10223,    0
111473,19500928,10227,    0
111473,19500929,10180,    0
111473,19500930,10105,    0
111473,19501001,10088,    0
111473,19501002,10154,    0
111473,19501003,10230,    0
111473,19501004,10257,    0
111473,19501005,10235,    0
111473,19501006,10218,    0
111473,19501007,10202,    0
111473,19501008,10160,    0
111473,19501009,10179,    0
111473,19501010,10162,    0
111473,19501011,10260,    0
111473,19501012,10345,    0
111473,19501013,10251,    0
111473,19501014,10191,    0
111473,19501015,10182,    0
111473,19501016,10208,    0
111473,19501017,10230,    0
111473,19501018,10235,    0
111473,19501019,10254,    0
111473,19501020,10240,    0
111473,19501021,10249,    0
111473,19501022,10241,    0
111473,19501023,10227,    0
111473,19501024,10184,    0
111473,19501025,10149,    0
111473,19501026,10167,    0
111473,19501027,10166,    0
111473,19501028,10157,    0
111473,19501029,10159,    0
111473,19501030,10198,    0
111473,19501031,10228,    0
111473,19501101,10206,    0
111473,19501102,10140,    0
111473,19501103, 9964,    0
111473,19501104,10088,    0
111473,19501105,10133,    0
111473,19501106,10135,    0
111473,19501107,10183,    0
111473,19501108,10197,    0
111473,19501109,10205,    0
111473,19501110,10112,    0
111473,19501111,10100,    0
111473,19501112,10017,    0
111473,19501113, 9934,    0
111473,19501114,10017,    0
111473,19501115,10149,    0
111473,19501116,10037,    0
111473,19501117,10102,    0
111473,19501118,10180,    0
111473,19501119,10081,    0
111473,19501120,10060,    0
111473,19501121, 9943,    0
111473,19501122,10019,    0
111473,19501123,10077,    0
111473,19501124,10108,    0
111473,19501125,10132,    0
111473,19501126,10220,    0
111473,19501127,10289,    0
111473,19501128,10179,    0
111473,19501129,10059,    0
111473,19501130,10188,    0
111473,19501201,10103,    0
111473,19501202,10073,    0
111473,19501203,10010,    0
111473,19501204,10104,    0
111473,19501205,10124,    0
111473,19501206,10168,    0
111473,19501207,10091,    0
111473,19501208,10138,    0
111473,19501209,10249,    0
111473,19501210,10231,    0
111473,19501211,10016,    0
111473,19501212,10028,    0
111473,19501213,10045,    0
111473,19501214, 9988,    0
111473,19501215, 9970,    0
111473,19501216,10040,    0
111473,19501217,10099,    0
111473,19501218,10113,    0
111473,19501219,10164,    0
111473,19501220,10205,    0
111473,19501221,10150,    0
111473,19501222,10050,    0
111473,19501223,10050,    0
111473,19501224,10118,    0
111473,19501225,10146,    0
111473,19501226,10132,    0
111473,19501227,10148,    0
111473,19501228,10150,    0
111473,19501229,10170,    0
111473,19501230,10154,    0
111473,19501231,10075,    0
111473,19510101, 9968,    0
111473,19510102, 9904,    0
111473,19510103,10053,    0
111473,19510104,10181,    0
111473,19510105,10157,    0
111473,19510106,10125,    0
111473,19510107,10119,    0
111473,19510108,10164,    0
111473,19510109,10149,    0
111473,19510110,10164,    0
111473,19510111,10042,    0
111473,19510112, 9980,    0
111473,19510113,10007,    0
111473,19510114,10112,    0
111473,19510115,10079,    0
111473,19510116,10295,    0
111473,19510117,10227,    0
111473,19510118,10073,    0
111473,19510119,10160,    0
111473,19510120,10132,    0
111473,19510121,10220,    0
111473,19510122,10218,    0
111473,19510123,10189,    0
111473,19510124,10182,    0
111473,19510125,10121,    0
111473,19510126,10095,    0
111473,19510127,10037,    0
111473,19510128,10037,    0
111473,19510129,10158,    0
111473,19510130,10178,    0
111473,19510131,10152,    0
111473,19510201,10226,    0
111473,19510202,10214,    0
111473,19510203,10081,    0
111473,19510204, 9911,    0
111473,19510205, 9860,    0
111473,19510206, 9969,    0
111473,19510207,10077,    0
111473,19510208,10056,    0
111473,19510209,10074,    0
111473,19510210,10125,    0
111473,19510211,10096,    0
111473,19510212,10121,    0
111473,19510213,10056,    0
111473,19510214,10075,    0
111473,19510215,10144,    0
111473,19510216,10168,    0
111473,19510217,10085,    0
111473,19510218,10109,    0
111473,19510219,10020,    0
111473,19510220,10026,    0
111473,19510221, 9932,    0
111473,19510222,10040,    0
111473,19510223,10134,    0
111473,19510224,10099,    0
111473,19510225,10101,    0
111473,19510226,10143,    0
111473,19510227,10161,    0
111473,19510228,10254,    0
111473,19510301,10278,    0
111473,19510302,10211,    0
111473,19510303,10248,    0
111473,19510304,10240,    0
111473,19510305,10191,    0
111473,19510306,10136,    0
111473,19510307,10041,    0
111473,19510308, 9955,    0
111473,19510309, 9976,    0
111473,19510310,10017,    0
111473,19510311, 9952,    0
111473,19510312,10008,    0
111473,19510313, 9956,    0
111473,19510314,10005,    0
111473,19510315,10120,    0
111473,19510316,10143,    0
111473,19510317,10051,    0
111473,19510318,10030,    0
111473,19510319,10013,    0
111473,19510320,10159,    0
111473,19510321,10287,    0
111473,19510322,10226,    0
111473,19510323,10084,    0
111473,19510324,10080,    0
111473,19510325,10136,    0
111473,19510326,10105,    0
111473,19510327,10034,    0
111473,19510328,10112,    0
111473,19510329,10074,    0
111473,19510330,10026,    0
111473,19510331,10109,    0
111473,19510401,10112,    0
111473,19510402,10117,    0
111473,19510403,10215,    0
111473,19510404,10217,    0
111473,19510405,10199,    0
111473,19510406,10166,    0
111473,19510407,10042,    0
111473,19510408,10068,    0
111473,19510409,10008,    0
111473,19510410,10069,    0
111473,19510411,10182,    0
111473,19510412,10206,    0
111473,19510413,10136,    0
111473,19510414,10185,    0
111473,19510415,10275,    0
111473,19510416,10199,    0
111473,19510417,10202,    0
111473,19510418,10174,    0
111473,19510419,10145,    0
111473,19510420,10177,    0
111473,19510421,10171,    0
111473,19510422,10231,    0
111473,19510423,10236,    0
111473,19510424,10226,    0
111473,19510425,10172,    0
111473,19510426,10111,    0
111473,19510427,10090,    0
111473,19510428,10127,    0
111473,19510429,10180,    0
111473,19510430,10205,    0
111473,19510501,10181,    0
111473,19510502,10156,    0
111473,19510503,10118,    0
111473,19510504,10088,    0
111473,19510505,10132,    0
111473,19510506,10102,    0
111473,19510507,10064,    0
