EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-06-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, TRIER-PETRISBERG (STAID: 2760).
Blended and updated with sources: 115695 910609 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
115695,19380730,   20,    0
115695,19380731,   25,    0
115695,19380801,   44,    0
115695,19380802,   43,    0
115695,19380803,   39,    0
115695,19380804,   41,    0
115695,19380805,   30,    0
115695,19380806,   35,    0
115695,19380807,   25,    0
115695,19380808,   23,    0
115695,19380809,   35,    0
115695,19380810,   19,    0
115695,19380811,   16,    0
115695,19380812,   23,    0
115695,19380813,   31,    0
115695,19380814,   28,    0
115695,19380815,   16,    0
115695,19380816,   42,    0
115695,19380817,   73,    0
115695,19380818,   46,    0
115695,19380819,   57,    0
115695,19380820,   47,    0
115695,19380821,   22,    0
115695,19380822,   29,    0
115695,19380823,   23,    0
115695,19380824,   31,    0
115695,19380825,   24,    0
115695,19380826,   22,    0
115695,19380827,   17,    0
115695,19380828,   27,    0
115695,19380829,   29,    0
115695,19380830,   36,    0
115695,19380831,   28,    0
115695,19380901,   14,    0
115695,19380902,   14,    0
115695,19380903,   38,    0
115695,19380904,   23,    0
115695,19380905,   18,    0
115695,19380906,   34,    0
115695,19380907,   37,    0
115695,19380908,   20,    0
115695,19380909,   56,    0
115695,19380910,   57,    0
115695,19380911,   22,    0
115695,19380912,   24,    0
115695,19380913,   12,    0
115695,19380914,   25,    0
115695,19380915,   40,    0
115695,19380916,   32,    0
115695,19380917,   28,    0
115695,19380918,   35,    0
115695,19380919,   20,    0
115695,19380920,   32,    0
115695,19380921,   36,    0
115695,19380922,   14,    0
115695,19380923,   29,    0
115695,19380924,   27,    0
115695,19380925,   41,    0
115695,19380926,   27,    0
115695,19380927,   22,    0
115695,19380928,   15,    0
115695,19380929,   14,    0
115695,19380930,   19,    0
115695,19381001,   33,    0
115695,19381002,   63,    0
115695,19381003,   89,    0
115695,19381004,  128,    0
115695,19381005,   94,    0
115695,19381006,   70,    0
115695,19381007,   70,    0
115695,19381008,   76,    0
115695,19381009,  104,    0
115695,19381010,   63,    0
115695,19381011,   33,    0
115695,19381012,   39,    0
115695,19381013,   53,    0
115695,19381014,   49,    0
115695,19381015,   13,    0
115695,19381016,   15,    0
115695,19381017,   32,    0
115695,19381018,   70,    0
115695,19381019,   72,    0
115695,19381020,   19,    0
115695,19381021,   45,    0
115695,19381022,   56,    0
115695,19381023,   62,    0
115695,19381024,   53,    0
115695,19381025,   29,    0
115695,19381026,   21,    0
115695,19381027,   28,    0
115695,19381028,   46,    0
115695,19381029,   20,    0
115695,19381030,   19,    0
115695,19381031,   20,    0
115695,19381101,   49,    0
115695,19381102,   45,    0
115695,19381103,   58,    0
115695,19381104,   86,    0
115695,19381105,   67,    0
115695,19381106,   33,    0
115695,19381107,   28,    0
115695,19381108,   30,    0
115695,19381109,   20,    0
115695,19381110,   16,    0
115695,19381111,   24,    0
115695,19381112,   21,    0
115695,19381113,   30,    0
115695,19381114,   25,    0
115695,19381115,   17,    0
115695,19381116,   43,    0
115695,19381117,   19,    0
115695,19381118,   11,    0
115695,19381119,   32,    0
115695,19381120,   34,    0
115695,19381121,  105,    0
115695,19381122,   41,    0
115695,19381123,  103,    0
115695,19381124,   79,    0
115695,19381125,  113,    0
115695,19381126,  127,    0
115695,19381127,   28,    0
115695,19381128,   44,    0
115695,19381129,   18,    0
115695,19381130,   62,    0
115695,19381201,   98,    0
115695,19381202,   70,    0
115695,19381203,   88,    0
115695,19381204,   25,    0
115695,19381205,   35,    0
115695,19381206,   44,    0
115695,19381207,   29,    0
115695,19381208,   53,    0
115695,19381209,   55,    0
115695,19381210,   35,    0
115695,19381211,   35,    0
115695,19381212,   21,    0
115695,19381213,   15,    0
115695,19381214,   12,    0
115695,19381215,   20,    0
115695,19381216,   52,    0
115695,19381217,   82,    0
115695,19381218,   93,    0
115695,19381219,   77,    0
115695,19381220,   76,    0
115695,19381221,   43,    0
115695,19381222,   17,    0
115695,19381223,   40,    0
115695,19381224,   41,    0
115695,19381225,   58,    0
115695,19381226,   20,    0
115695,19381227,   63,    0
115695,19381228,   42,    0
115695,19381229,   22,    0
115695,19381230,   62,    0
115695,19381231,   65,    0
115695,19390101,   76,    0
115695,19390102,   94,    0
115695,19390103,   67,    0
115695,19390104,   69,    0
115695,19390105,   61,    0
115695,19390106,   38,    0
115695,19390107,   24,    0
115695,19390108,   67,    0
115695,19390109,   79,    0
115695,19390110,   58,    0
115695,19390111,   21,    0
115695,19390112,   76,    0
115695,19390113,   52,    0
115695,19390114,   31,    0
115695,19390115,  109,    0
115695,19390116,  132,    0
115695,19390117,   98,    0
115695,19390118,   78,    0
115695,19390119,   80,    0
115695,19390120,   81,    0
115695,19390121,  101,    0
115695,19390122,   83,    0
115695,19390123,  107,    0
115695,19390124,   66,    0
115695,19390125,   48,    0
115695,19390126,   63,    0
115695,19390127,   24,    0
115695,19390128,   28,    0
115695,19390129,   77,    0
115695,19390130,   69,    0
115695,19390131,   64,    0
115695,19390201,   67,    0
115695,19390202,   54,    0
115695,19390203,   22,    0
115695,19390204,   12,    0
115695,19390205,    7,    0
115695,19390206,   10,    0
115695,19390207,   18,    0
115695,19390208,   14,    0
115695,19390209,   45,    0
115695,19390210,   63,    0
115695,19390211,   38,    0
115695,19390212,   85,    0
115695,19390213,   58,    0
115695,19390214,   25,    0
115695,19390215,   26,    0
115695,19390216,   40,    0
115695,19390217,   22,    0
115695,19390218,   48,    0
115695,19390219,   51,    0
115695,19390220,   32,    0
115695,19390221,   11,    0
115695,19390222,   32,    0
115695,19390223,   81,    0
115695,19390224,   44,    0
115695,19390225,   76,    0
115695,19390226,   75,    0
115695,19390227,   34,    0
115695,19390228,   62,    0
115695,19390301,   78,    0
115695,19390302,   21,    0
115695,19390303,   26,    0
115695,19390304,   36,    0
115695,19390305,   66,    0
115695,19390306,   76,    0
115695,19390307,   42,    0
115695,19390308,   93,    0
115695,19390309,   67,    0
115695,19390310,   30,    0
115695,19390311,   20,    0
115695,19390312,   46,    0
115695,19390313,   32,    0
115695,19390314,   52,    0
115695,19390315,   87,    0
115695,19390316,   29,    0
115695,19390317,   47,    0
115695,19390318,   73,    0
115695,19390319,   27,    0
115695,19390320,   36,    0
115695,19390321,   72,    0
115695,19390322,   55,    0
115695,19390323,   31,    0
115695,19390324,   37,    0
115695,19390325,   31,    0
115695,19390326,   69,    0
115695,19390327,   43,    0
115695,19390328,   28,    0
115695,19390329,   35,    0
115695,19390330,   54,    0
115695,19390331,   44,    0
115695,19390401,   28,    0
115695,19390402,   32,    0
115695,19390403,   62,    0
115695,19390404,   90,    0
115695,19390405,   43,    0
115695,19390406,   22,    0
115695,19390407,   47,    0
115695,19390408,   35,    0
115695,19390409,   42,    0
115695,19390410,   63,    0
115695,19390411,   38,    0
115695,19390412,   34,    0
115695,19390413,   34,    0
115695,19390414,   64,    0
115695,19390415,   60,    0
115695,19390416,   83,    0
115695,19390417,   71,    0
115695,19390418,   67,    0
115695,19390419,   53,    0
115695,19390420,   34,    0
115695,19390421,   20,    0
115695,19390422,   62,    0
115695,19390423,   68,    0
115695,19390424,   82,    0
115695,19390425,   52,    0
115695,19390426,   48,    0
115695,19390427,   45,    0
115695,19390428,   51,    0
115695,19390429,   32,    0
115695,19390430,   29,    0
115695,19390501,   15,    0
115695,19390502,   53,    0
115695,19390503,   39,    0
115695,19390504,   33,    0
115695,19390505,   25,    0
115695,19390506,   21,    0
115695,19390507,   39,    0
115695,19390508,   40,    0
115695,19390509,   41,    0
115695,19390510,   35,    0
115695,19390511,   19,    0
115695,19390512,   21,    0
115695,19390513,   59,    0
115695,19390514,   31,    0
115695,19390515,   37,    0
115695,19390516,   55,    0
115695,19390517,   33,    0
115695,19390518,   18,    0
115695,19390519,   14,    0
115695,19390520,   34,    0
115695,19390521,   37,    0
115695,19390522,   41,    0
115695,19390523,   54,    0
115695,19390524,   42,    0
115695,19390525,   25,    0
115695,19390526,   31,    0
115695,19390527,   35,    0
115695,19390528,   59,    0
115695,19390529,   52,    0
